@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 {0,1,2,3,4,5}

@data
92,'2018/07/12 22:06:20:584',3,356.425323,383.208496,53.802898,411.052155,345.606628,73.32486,347.79126,372.153351,47.370419,325.34436,366.665649,46.893139,299.720459,358.870239,48.144405,1
93,'2018/07/12 22:06:20:640',3,355.84613,387.460358,54.012337,409.875671,349.921234,73.490891,347.640991,376.123901,47.500595,325.262939,370.55072,46.98193,299.812805,362.916138,48.240044,1
94,'2018/07/12 22:06:20:694',3,357.991425,394.536346,53.148083,411.994446,358.354584,73.088196,353.042786,381.925507,46.797848,330.018524,376.967651,46.334896,303.794739,370.495728,47.683418,1
95,'2018/07/12 22:06:20:752',3,353.414429,401.790039,52.741966,413.978912,364.131165,73.015495,356.252716,389.074005,46.705193,333.138062,384.367523,46.239895,306.680511,378.1315,47.57753,1
96,'2018/07/12 22:06:20:809',3,353.710785,406.679382,52.724136,415.437042,368.82489,72.978333,357.486969,393.952515,46.732983,334.352905,389.316406,46.273277,307.859192,383.129089,47.607574,1
97,'2018/07/12 22:06:20:861',3,353.118683,408.334839,52.651474,415.604034,371.335999,72.942558,357.812775,395.467834,46.755768,334.665466,390.874451,46.29874,308.12088,384.770782,47.622402,1
98,'2018/07/12 22:06:20:917',3,349.080017,408.586578,52.374168,415.605774,371.94574,72.895706,357.664612,395.95816,46.779221,334.508301,391.416016,46.322605,307.928223,385.330231,47.634232,1
99,'2018/07/12 22:06:20:975',3,341.722382,407.051727,52.03244,414.306915,370.770386,72.898415,356.607574,395.573517,46.833374,333.503052,391.016083,46.360184,306.87793,384.769012,47.650021,1
100,'2018/07/12 22:06:21:033',3,336.545807,401.89621,52.184998,411.326538,364.3927,72.950836,353.85675,391.624329,47.016129,330.955688,386.943878,46.49527,304.43576,380.278748,47.723854,1
101,'2018/07/12 22:06:21:091',3,334.061157,398.739471,52.158134,409.807831,361.406616,72.948105,352.802521,388.820862,47.005779,329.936584,384.136627,46.476059,303.359436,377.354706,47.689999,1
102,'2018/07/12 22:06:21:147',3,332.79364,398.378723,52.137218,409.398682,360.286255,72.983887,352.258911,387.940491,46.953403,329.363281,383.137634,46.410358,302.665924,376.368225,47.643291,1
103,'2018/07/12 22:06:21:203',3,332.03952,397.932343,51.931801,409.421112,360.027222,73.080833,352.393372,387.168396,46.877327,329.414886,382.213776,46.325268,302.615784,375.644745,47.597153,1
104,'2018/07/12 22:06:21:259',3,335.161926,399.914124,51.931652,410.492889,363.191589,73.179062,353.420319,388.299622,46.826412,330.240662,383.478973,46.32011,303.35849,377.204285,47.637703,1
105,'2018/07/12 22:06:21:313',3,338.904205,403.345032,52.065594,411.901306,366.855164,73.213203,354.298553,391.022644,46.816051,330.949585,386.311157,46.338173,304.073303,380.290649,47.696762,1
106,'2018/07/12 22:06:21:370',3,343.707764,406.018616,52.429371,413.286774,368.825439,73.271034,354.665771,393.285187,46.937836,331.27478,388.613159,46.470577,304.490387,382.56311,47.830292,1
107,'2018/07/12 22:06:21:427',3,356.50415,408.810089,53.180962,414.457611,370.801636,73.257149,355.165588,394.318481,46.943748,331.738464,389.674591,46.490688,305.035675,383.685638,47.867638,1
108,'2018/07/12 22:06:21:481',3,363.620209,409.963165,53.848339,414.903107,371.12323,73.221321,355.426056,394.473267,46.908329,331.99469,389.804382,46.452866,305.388184,383.813416,47.83308,1
109,'2018/07/12 22:06:21:536',3,366.170715,408.555481,54.551361,414.195618,368.16925,73.289886,354.525909,392.810669,47.014477,331.242279,387.992249,46.529072,304.987305,381.740204,47.882397,1
110,'2018/07/12 22:06:21:593',3,365.516663,403.93573,54.894913,412.188995,361.373047,73.260689,352.796753,388.77301,47.128353,329.663544,383.858063,46.591896,303.751221,377.311859,47.891003,1
111,'2018/07/12 22:06:21:651',3,367.461273,399.277496,54.901585,410.86142,358.080322,73.278923,351.478851,384.55658,47.102909,328.329529,379.505524,46.560062,302.758301,372.952942,47.866196,1
112,'2018/07/12 22:06:21:707',3,369.08551,398.300751,54.970482,410.937103,357.585724,73.289452,351.297821,384.771973,47.228947,328.044403,379.019775,46.574429,302.749084,372.273193,47.858513,1
